calibration_file,calibration\config.csv
start_time,2023-03-15T19:44:06.069527-0700

Thrust,Torque,Time,Thrust_raw,Torque_raw,Time_raw
0.0068927,-0.06648512,5.17,-8,-25376,5170
0.0068927,-0.06663708,5.2700000000000005,-8,-25434,5270
0.0085775,-0.0665611,5.37,28,-25405,5370
0.0097007,-0.06638031999999999,5.47,52,-25336,5470
0.0104027,-0.06652966,5.57,67,-25393,5570
0.0089987,-0.06658992,5.67,37,-25416,5670
0.006377900000000001,-0.060252139999999996,5.7700000000000005,-19,-22997,5770
0.0092327,0.0005554399999999999,5.87,42,212,5870
0.0100751,-0.01021014,5.97,60,-3897,5970
0.0076883,-0.010356859999999999,6.07,9,-3953,6070
0.0070799,-0.0172396,6.17,-4,-6580,6170
0.0073139,-0.02918942,6.2700000000000005,1,-11141,6270
0.0052547,-0.03653066,6.37,-43,-13943,6370
0.0068459,-0.03439274,6.47,-9,-13127,6470
0.0064715,-0.01631736,6.57,-17,-6228,6570
0.006799100000000001,-0.0076111,6.67,-10,-2905,6670
0.0071735,0.0027614799999999998,6.7700000000000005,-2,1054,6770
0.0081563,0.010178699999999999,6.87,19,3885,6870
0.0066587,0.0032619,6.97,-13,1245,6970
0.019294699999999998,-0.0460596,7.07,257,-17580,7070
0.1949351,-0.06550262,7.17,4010,-25001,7170
1.1273783,-0.0666266,7.2700000000000005,23934,-25430,7270
2.4474659,-0.06658992,7.37,52141,-25416,7370
2.8692275,-0.06646154,7.47,61153,-25367,7470
3.8181442999999997,-0.06636198,7.57,81429,-25329,7570
4.9424207,-0.06638294,7.67,105452,-25337,7670
5.5625675,-0.06639866,7.7700000000000005,118703,-25343,7770
5.7532775,-0.06636198,7.87,122778,-25329,7870
6.0781163,-0.06647464,7.97,129719,-25372,7970
6.5431679,-0.06667638,8.07,139656,-25449,8070
6.833561899999999,-0.06660826,8.17,145861,-25423,8170
7.3347431,-0.06667376,8.27,156570,-25448,8270
7.765162699999999,-0.06667114,8.370000000000001,165767,-25447,8370
8.2413995,-0.06663184,8.47,175943,-25432,8470
8.441750299999999,-0.06654538,8.57,180224,-25399,8570
8.4344027,-0.0665611,8.67,180067,-25405,8670
8.4524207,-0.06659253999999999,8.77,180452,-25417,8770
8.376745099999999,-0.06653752,8.870000000000001,178835,-25396,8870
8.0643083,-0.06657682,8.97,172159,-25411,8970
6.5098931,-0.05455364,9.07,138945,-20822,9070
5.9623330999999995,0.02189534,9.17,127245,8357,9170
5.4575951,0.08671152,9.27,116460,33096,9270
4.7715071,0.12186144,9.370000000000001,101800,46512,9370
3.9176879,0.16045141999999998,9.47,83556,61241,9470
3.6832199,0.19071765999999998,9.57,78546,72793,9570
3.6425506999999997,0.22999145999999998,9.67,77677,87783,9670
3.2020691,0.27008008,9.77,68265,103084,9770
3.1672499,0.28966458,9.870000000000001,67521,110559,9870
3.0224039,0.31800249999999997,9.97,64426,121375,9970
2.7613535,0.35772956,10.07,58848,136538,10070
2.5933883,0.3803978,10.17,55259,145190,10170
2.5109266999999997,0.39760333999999997,10.27,53497,151757,10270
2.2679879,0.41045181999999997,10.370000000000001,48306,156661,10370
2.0930027,0.41099154,10.47,44567,156867,10470
2.0401655,0.40992258,10.57,43438,156459,10570
2.0104474999999997,0.4161477,10.67,42803,158835,10670
2.0194331,0.42043926,10.77,42995,160473,10770
2.0599151,0.4134753,10.870000000000001,43860,157815,10870
2.0880419,0.32876546,10.97,44461,125483,10970
2.1549659,0.21274137999999998,11.07,45891,81199,11070
2.0769971,0.07675552,11.17,44225,29296,11170
0.7179251,0.00155366,11.27,15185,593,11270
0.4851419,-0.01269914,11.370000000000001,10211,-4847,11370
0.4991819,-0.01268866,11.47,10511,-4843,11470
0.5186974999999999,-0.012599579999999999,11.57,10928,-4809,11570
0.5340478999999999,-0.01251574,11.67,11256,-4777,11670
0.5478071,-0.01240308,11.77,11550,-4734,11770
